2025-11-05 01:02:21 | 35.153.110.88:443 -> 192.168.2.14:60037 | TCP | Size: 66B
2025-11-05 01:02:21 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 1230B
2025-11-05 01:02:21 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 85B
2025-11-05 01:02:21 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 54B
2025-11-05 01:02:21 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 54B
2025-11-05 01:02:21 | 35.168.224.220:443 -> 192.168.2.14:60038 | TCP | Size: 66B
2025-11-05 01:02:21 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 522B
2025-11-05 01:02:21 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 54B
2025-11-05 01:02:21 | 54.83.233.7:443 -> 192.168.2.14:60039 | TCP | Size: 66B
2025-11-05 01:02:21 | 192.168.2.14:60219 -> 104.18.19.125:443 | TCP | Size: 509B
2025-11-05 01:02:21 | 192.168.2.14:60219 -> 104.18.19.125:443 | TCP | Size: 85B
2025-11-05 01:02:21 | 192.168.2.14:56764 -> 54.203.227.74:443 | TCP | Size: 55B
2025-11-05 01:02:21 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 1214B
2025-11-05 01:02:21 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 85B
2025-11-05 01:02:22 | 104.18.19.125:443 -> 192.168.2.14:60219 | TCP | Size: 54B
2025-11-05 01:02:22 | 44.196.146.158:443 -> 192.168.2.14:60041 | TCP | Size: 66B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 54B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 54B
2025-11-05 01:02:22 | 192.168.2.14:60219 -> 104.18.19.125:443 | TCP | Size: 892B
2025-11-05 01:02:22 | 192.168.2.14:60219 -> 104.18.19.125:443 | TCP | Size: 85B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 636B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 1514B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 1514B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 1514B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 1514B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 1206B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 85B
2025-11-05 01:02:22 | Unknown packet | Size: 94B
2025-11-05 01:02:22 | 104.18.19.125:443 -> 192.168.2.14:60219 | TCP | Size: 54B
2025-11-05 01:02:22 | 192.168.2.14:60391 -> 52.55.228.173:443 | TCP | Size: 466B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 89B
2025-11-05 01:02:22 | 192.168.2.14:60391 -> 52.55.228.173:443 | TCP | Size: 85B
2025-11-05 01:02:22 | Unknown packet | Size: 226B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 54B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 54B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 54B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 54B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 54B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 54B
2025-11-05 01:02:22 | 35.172.160.226:443 -> 192.168.2.14:60040 | TCP | Size: 66B
2025-11-05 01:02:22 | 192.168.2.14:62062 -> 44.196.146.158:443 | TCP | Size: 66B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 523B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 54B
2025-11-05 01:02:22 | 104.18.19.125:443 -> 192.168.2.14:60219 | TCP | Size: 135B
2025-11-05 01:02:22 | 54.203.227.74:443 -> 192.168.2.14:56764 | TCP | Size: 66B
2025-11-05 01:02:22 | 44.196.146.158:443 -> 192.168.2.14:58483 | TCP | Size: 66B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 54B
2025-11-05 01:02:22 | 192.168.2.14:60219 -> 104.18.19.125:443 | TCP | Size: 54B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 89B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 351B
2025-11-05 01:02:22 | 104.18.19.125:443 -> 192.168.2.14:60219 | TCP | Size: 112B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 54B
2025-11-05 01:02:22 | 192.168.2.14:62063 -> 52.86.162.68:443 | TCP | Size: 66B
2025-11-05 01:02:22 | 52.55.228.173:443 -> 192.168.2.14:60391 | TCP | Size: 54B
2025-11-05 01:02:22 | 52.55.228.173:443 -> 192.168.2.14:60391 | TCP | Size: 305B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 1237B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 85B
2025-11-05 01:02:22 | 192.168.2.14:60219 -> 104.18.19.125:443 | TCP | Size: 54B
2025-11-05 01:02:22 | 192.168.2.14:60391 -> 52.55.228.173:443 | TCP | Size: 54B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 54B
2025-11-05 01:02:22 | 52.86.162.68:443 -> 192.168.2.14:58484 | TCP | Size: 66B
2025-11-05 01:02:22 | 192.168.2.14:56386 -> 185.125.190.58:123 | UDP | Size: 90B
2025-11-05 01:02:22 | 192.168.2.14:62064 -> 54.242.107.65:443 | TCP | Size: 66B
2025-11-05 01:02:22 | 52.86.162.68:443 -> 192.168.2.14:62063 | TCP | Size: 66B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 89B
2025-11-05 01:02:22 | 54.242.107.65:443 -> 192.168.2.14:58485 | TCP | Size: 66B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 1154B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 85B
2025-11-05 01:02:22 | 185.125.190.58:123 -> 192.168.2.14:56386 | UDP | Size: 90B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 521B
2025-11-05 01:02:22 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 54B
2025-11-05 01:02:22 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 54B
2025-11-05 01:02:23 | 54.242.107.65:443 -> 192.168.2.14:62064 | TCP | Size: 66B
2025-11-05 01:02:23 | 192.168.2.14:62065 -> 35.153.110.88:443 | TCP | Size: 66B
2025-11-05 01:02:23 | 75.2.76.8:443 -> 192.168.2.14:53982 | TCP | Size: 522B
2025-11-05 01:02:23 | 192.168.2.14:53982 -> 75.2.76.8:443 | TCP | Size: 54B
2025-11-05 01:02:23 | 35.153.110.88:443 -> 192.168.2.14:58486 | TCP | Size: 66B
2025-11-05 01:02:23 | 192.168.2.14:60219 -> 104.18.19.125:443 | TCP | Size: 1268B
